date,commodity,price
2025-05-01,onion,24
2025-05-02,onion,25
2025-05-03,onion,26
2025-05-04,onion,27
2025-05-05,onion,28
2025-05-06,onion,29
2025-05-07,onion,30
2025-05-08,onion,29
2025-05-09,onion,28
2025-05-10,onion,27
2025-05-11,onion,26
2025-05-12,onion,27
2025-05-13,onion,28
2025-05-14,onion,29
2025-05-15,onion,30
2025-05-16,onion,31
2025-05-17,onion,32
2025-05-18,onion,33
2025-05-19,onion,34
2025-05-20,onion,35
2025-05-21,onion,36
2025-05-22,onion,37
2025-05-23,onion,38
2025-05-24,onion,37
2025-05-25,onion,36
2025-05-26,onion,35
2025-05-27,onion,34
2025-05-28,onion,33
2025-05-29,onion,32
2025-05-30,onion,31
2025-05-31,onion,30
2025-06-01,onion,29
2025-06-02,onion,28
2025-06-03,onion,27
2025-06-04,onion,26
2025-06-05,onion,25
2025-06-06,onion,26
2025-06-07,onion,27
2025-06-08,onion,28
2025-06-09,onion,29
